time,open,high,low,close,volume,time,RSI
2018-10-10,26441.7305,26487.8691,25567.0996,25598.7402,438200000,2018-10-10,46.8448
2018-10-09,26469.1895,26539.9395,26324.1602,26430.5703,282560000,2018-10-09,48.4111
2018-10-08,26399.4492,26529.3496,26223.0898,26486.7793,273020000,2018-10-08,44.2700
2018-10-05,26632.7695,26676.1602,26301.8105,26447.0508,267100000,2018-10-05,57.8681
2018-10-04,26784.0801,26793.8203,26471.6094,26627.4805,289600000,2018-10-04,70.0836
2018-10-03,26833.4707,26951.8105,26789.0801,26828.3906,280130000,2018-10-03,74.5802
2018-10-02,26648.9102,26824.7793,26627.6602,26773.9395,258290000,2018-10-02,67.8320
2018-10-01,26598.3594,26737.9805,26596.0508,26651.2109,238320000,2018-10-01,65.6463
2018-09-28,26407.6602,26515.7598,26383.5703,26458.3105,264030000,2018-09-28,55.7137
2018-09-27,26418.2695,26557.0098,26379.9492,26439.9297,226350000,2018-09-27,56.5091
2018-09-26,26536.8594,26606.0898,26349.3398,26385.2793,262620000,2018-09-26,65.6794
2018-09-25,26601.5801,26634.8496,26475.5801,26492.2109,234110000,2018-09-25,71.1968
2018-09-24,26705.2500,26709.9395,26548.6797,26562.0508,254850000,2018-09-24,80.6981
2018-09-21,26726.2500,26769.1602,26680.3691,26743.5000,657620000,2018-09-21,82.6532
2018-09-20,26519.3906,26697.4902,26519.3906,26656.9805,260480000,2018-09-20,78.0750
2018-09-19,26287.8398,26464.4102,26280.7598,26405.7598,251330000,2018-09-19,70.4316
2018-09-18,26076.2109,26317.3398,26076.2109,26246.9609,243000000,2018-09-18,59.0014
2018-09-17,26151.6602,26184.4707,26030.3496,26062.1191,230230000,2018-09-17,67.0920
2018-09-14,26169.5605,26211.1094,26068.2891,26154.6699,228640000,2018-09-14,69.0579
2018-09-13,26083.9395,26191.6406,26067.0801,26145.9902,260800000,2018-09-13,64.7330
2018-09-12,25989.0703,26145.7207,25929.4297,25998.9199,282770000,2018-09-12,59.2048
2018-09-11,25841.1406,26019.9199,25754.3203,25971.0605,265960000,2018-09-11,48.1062
